template,text
NN NN NN NN NN NN,"['treatment treatment treatment treatment; treatment; treatment', 'withledgephledgeph withpless withledgephledgephledgephledgephledgeb withphledgephledgephledgeb withphledgephledgephledgephledgephledgephledgephledgeph withchedpless', 'wascectomy treatment waseprogram treatment wasephence treatment', 'chothowtice chyoytice pytice lapice lapice blemitmenticewingtice', 'treatment;synthesis treatment treatment treatment treatment treatment', 'treatment; treatment; treatment; treatment; treatment; treatment;treatment;', 'malaria; drug; malaria; malaria;n;to malaria;to drug;.', 'treatment; treatment treatment treatment treatment; treatment;', 'procedure surgery surgery surgery surgery surgery', 'surgery surgery surgery surgery surgery surgery.', 'malaria; malaria; malaria; drug; malaria; malaria;', 'surgery surgery procedure surgery surgery surgery', 'treatment wasephence treatment waseprogram treatment wastherapy.', 'malaria; malaria; drug; malaria; malaria;n;to malaria;to', 'treatment wascectomy treatment waseprogram treatment wasephence', 'malaria; malaria; malaria; malaria; malaria; drug;', 'procedure surgery surgery surgery surgery procedure', 'surgery surgery surgery surgery surgery procedure', 'surgery surgery surgery surgery procedure surgery', 'chedignledgeightledgechetledgechetledgechetightledgephledgephledgephledgephledgephledgephledgephledgephledgephledgephledgephledgeightledgephledgephledgephledgephledgephledgephledgephledgephledgephledgephledgephledgephledgephledgephledgephledgephledgephledgephledgephledgephledgephledgephledgephledgephledgephledgephledgephledgephledgephiltledgephledgephledgeph withledgephledgeph withpless withledgephledgephledgephledgephledgeb withphledgephledgephledgeb withphledgephledgephledgephledgephledgephledgephledgeph', 'waseprogram treatment wasephence treatment waseprogram treatment', 'surgery surgery surgery procedure surgery surgery', 'treatment; treatment treatment treatment treatment treatment', 'malaria; drug; malaria; malaria; malaria; malaria;', 'treatment treatment treatment treatment treatment; treatment;', 'malaria; malaria; malaria; drug; malaria; malaria;n;to', 'treatment; treatment; treatment treatment treatment treatment', 'treatment treatment treatment; treatment; treatment treatment', 'treatment treatment; treatment; treatment treatment treatment', 'malaria; malaria; drug; malaria; malaria; malaria;', 'treatment treatment treatment treatment treatment treatment', 'toothrophephillue toothilluephilluephothill toothillillillillillue toothilluephilluephilluephill toothhephilluephillillilluephillillillillillue toothillowillillillillillillillillillillillillillillillillillillillillillillillillillillillillillillillillillillillillillillillillillillillillillillillillillillillillillillillillillillillillillillillillillillillillillillillillillillillillillillillillillillillillillillillillillillillillillillillillillillillillillillillillill', 'treatment treatment treatment treatment; treatment; treatment.', 'treatment waseprogram treatment wasephence treatment waseprogram', 'treatment treatment treatment treatment; treatment; treatment;', 'toothhephrographs toothrophephillue toothilluephilluephothill toothillillillillillue toothilluephilluephilluephill toothhephilluephillillilluephillillillillillue', 'surgery procedure surgery surgery surgery surgery', 'treatment treatment treatment treatment treatment treatment;', 'surgery surgery surgery surgery surgery surgery', 'malaria; malaria; malaria; malaria; drug; malaria;', 'drug; malaria; malaria; malaria; malaria; malaria;', 'treatment; treatment; treatment; treatment; treatment; treatment;']"
CD CD CD CD CD CD,"['0bittle 0bittleph 0th 0bittleph 0th 0th', '0 0bittleph 0th 0bittleph 0bittle 0bittleph', '0 0bittle 0th 0th 0th 0b', '0bature 0th 0thoonitionitionitionitionphthitch 0th 0th 0th', '0 0 0 0bittle 0th 0th', '0th 0 0 0 0th 0th', '0 0thoon 0 0 0 0bittlephoth', '0bature 0th 0 0th 0 0bittleph', '0bittlephoon 0th 0th 0th 0 0', '0th 0ld 0th 0thothledgephnittlella 0th 0thoth', '0bittleph 0th 0th 0th 0 0', '0th 0bittleph 0 0bittlephoon 0th 0th', '0th 0th 0th 0b 0 0', '0ld 0th 0thothledgephnittlella 0th 0thoth 0thow', '0b 0th 0b 0th 0 0', '0th 0billn 0thill 0bittleph 0bittleph 0bature', '0thow 0rrn 0th 0thoth 0both 0thoth', '0b 0 0 0 0 0bittle', '0th 0th 0b 0th 0b 0th', '0th 0thoth 0both 0thoth 0th 0th', '0bittleph 0 0bittlephoon 0th 0th 0th', '0th 0b 0 0 0 0', '0 0th 0 0th 0b 0th', '0 0bittlephoon 0th 0th 0th 0', '0th 0th 0 0 0 0th', '0b 0th 0bature 0th 0b 0th', '0bittlephoth 0ldtoonition 0thothoon 077 0th 0bittleph', '0th 0 0bature 0th 0thoonitionitionitionitionphthitch 0th', '0bittleph 0bittle 0bittleph 0th 0bittleph 0th', '0th 0th 0th 0th 0billn 0thill', '0th 0 0bittleph 0th 0bittleph 0bittle', '0 0 0bittlephoth 0ldtoonition 0thothoon 077', '0th 0 0th 0 0bittleph 0th', '0 0 0th 0 0th 0b', '0th 0b 0th 0 0 0thoon', '0 0 0 0 0bittle 0th', '0thoth 0thow 0rrn 0th 0thoth 0both', '0 0 0 0bittlephoth 0ldtoonition 0thothoon', '0th 0th 0th 0th 0th 0bittleph', '0th 0th 0bittleph 0 0bittlephoon 0th', '0th 0bittleph 0th 0 0bature 0th', '0 0 0 0th 0 0th', '0th 0th 0billn 0thill 0bittleph 0bittleph', '0th 0thoth 0thow 0rrn 0th 0thoth', '0thoth 0both 0thoth 0th 0th 0th', '0thoonitionitionitionitionphthitch 0th 0th 0th 0th 0th', '0th 0th 0th 0th 0b 0', '0bittleph 0bature 0th 0 0th 0', '0 0bature 0th 0thoonitionitionitionitionphthitch 0th 0th', '0th 0bature 0th 0b 0th 0bittle', '0bittleph 0bittleph 0bature 0th 0 0th', '0th 0th 0th 0billn 0thill 0bittleph', '0th 0th 0th 0th 0th 0billn', '0b 0th 0 0 0thoon 0', '0both 0thoth 0th 0th 0th 0th', '0th 0th 0th 0b 0th 0b', '0 0 0bittle 0th 0th 0th', '0 0th 0th 0th 0th 0th', '0thoon 0 0 0 0bittlephoth 0ldtoonition', '0th 0th 0th 0th 0th 0b', '0th 0thoonitionitionitionitionphthitch 0th 0th 0th 0th', '0th 0th 0th 0bittleph 0 0bittlephoon', '0th 0 0 0thoon 0 0', '0 0 0th 0th 0th 0th', '0th 0b 0th 0b 0th 0', '0bittleph 0th 0bittleph 0bittle 0bittleph 0th', '0 0 0 0th 0th 0th', '0th 0th 0th 0th 0th 0th', '0 0th 0 0bittleph 0th 0bittleph', '0th 0bittleph 0th 0th 0th 0', '0ldtoonition 0thothoon 077 0th 0bittleph 0th', '0th 0 0th 0b 0th 0bature', '0 0th 0b 0th 0bature 0th', '0bittleph 0th 0 0bature 0th 0thoonitionitionitionitionphthitch', '0th 0th 0b 0 0 0', '0 0 0thoon 0 0 0', '0th 0bittleph 0bittle 0bittleph 0th 0bittleph', '0thothoon 077 0th 0bittleph 0th 0', '0thothledgephnittlella 0th 0thoth 0thow 0rrn 0th', '0bittleph 0th 0bittleph 0th 0th 0th', '0 0bittlephoth 0ldtoonition 0thothoon 077 0th', '077 0th 0bittleph 0th 0 0bature', '0th 0thothledgephnittlella 0th 0thoth 0thow 0rrn', '0rrn 0th 0thoth 0both 0thoth 0th', '0th 0th 0th 0 0 0', '0thill 0bittleph 0bittleph 0bature 0th 0', '0th 0 0 0 0th 0', '0thoth 0th 0th 0th 0th 0th', '0bittle 0th 0th 0th 0b 0th', '0billn 0thill 0bittleph 0bittleph 0bature 0th', '0th 0b 0th 0bature 0th 0b', '0th 0th 0th 0th 0bittleph 0']"
JJ NN IN DT NN IN,"['significant difference in the duration of', 'methotrexate (MTX) for the treatment of', 'significant reduction in the use of', 'valuable intervention in the management of', 'patient selection on the basis of', 'urinary hCG in the treatment of', 'vital ingredient in the success of', 'significant difference in the reduction of', 'useful adjunct in the treatment of', 'conventional treatment for the treatment of', 'effective therapy for the treatment of', 'significant impact on the efficacy of', 'mg iodine at the beginning of', 'provided evidence for the effectiveness of', 'observable impact on the outcome of', 'significant reduction in the number of', 'obvious retardation in the progress of', 'promising agent for the treatment of', 'warm ischemia in this technique of', 'significant increase in the rate of', '(non-occlusal loading) at the time of', ""patient's view of the familiarity of"", 'iodine supplementation through the consumption of', 'neuroprotective agent for the treatment of', 'myopia progression, with a difference of', 'unfractionated heparin for the treatment of', 'significant difference in the rate of', 'antibiotic therapy of the treatment of', 'conventional management at a cost of', 'anaesthetic injection into the substance of', 'placebo-controlled study on the efficacy of', 'significant reduction in the prevalence of', 'residual size of the gap in', 'weight gain during the period of', 'same device with the addition of', 'general summary of a piece of', 'vascular exclusion of the liver with', 'deep injection into the substance of', 'patient-oriented comparison of the use of', 'therapeutic agent for the treatment of', 'low-dose baclofen in the management of', 'primary endpoint for a study in', 'objective measurements, with the exception of', 'beneficial role in the treatment of', 'oral isotretinoin for the prevention of', 'useful agent for the promotion of', 'topical analgesic for the relief of', 'significant decrease in the frequency of', 'new approach in the care of', 'systematic review of the literature on', 'spinal manipulation in the treatment of', 'acid supplementation on the recurrence of', 'headgear group In the study by', 'mean size of the gap at', 'significant reduction in the recurrence of', 'adjuvant AV-fistula on the patency of', 'low-dose heparin for the treatment of', 'significant difference in the incidence of', 'manual removal of the placenta, while', 'antibiotic therapy in the treatment of']"
IN DT NN IN JJ NN,"['for the treatment of severe pre-eclampsia.', 'in the treatment of chronic constipation', 'in the treatment of psoriatic arthritis', 'protocol, the incidence of febrile neutropenia', 'for the treatment of macular edema', 'in the field of psychiatry, mood', 'that the use of hypnotic analgesia', 'in the treatment of dysthymic disorder.', 'for the treatment of dysthymic disorder.', 'in the treatment of traumatic corneal', 'in the treatment of oral thrush', 'on the prevention of pregnancy-induced hypertension', 'in the treatment of megaloblastic anemia', 'by the use of unfractionated heparin.', 'at a dose of 40-50 mg/kg/d', 'for the treatment of distal radius', 'that a combination of compliance-improving strategies,', 'in an improvement in nutritional status', 'that the frequency of residual velopharyngeal', 'for the use of external drainage', 'of the length of initial remission.', 'that the incidence of hospital-acquired pressure', 'in the number of migraine headache', 'for the treatment of psoriatic arthritis,', 'for the treatment of chronic osteomyelitis.', 'with no evidence of extrapyramidal effects,', 'for the management of agitated behavior', 'with the exception of end-diastolic blood', 'in the treatment of amoebic liver', 'in the treatment of infant colic,', 'in the treatment of female fertility.', 'on the comparison of low-dose fluphenazine', 'of the intervention on self-efficacy, outcome', 'Although the rate of erythrocyte transfusion', 'for the prevention of urinary tract', 'with a history of primary dysmenorrhea.', 'for the treatment of chronic osteomyelitis', 'in the treatment of major depression', 'in the treatment of mental illness,', 'for the treatment of acute manic', 'through the consumption of iodized salt', 'on the use of early endoscopic', 'in the treatment of psoriatic arthritis,', 'in the treatment of oral candidiasis', 'with the treatment of simple corneal', 'on a variety of cognitive tests,', 'as an increase in hemoglobin (Hb)', 'in the treatment of acute gallstone', 'in an increase in ""on"" time', 'in the management of symptomatic alcohol', 'in the treatment of oropharyngeal candidiasis,', 'in the treatment of mild bronchoconstriction', 'with a rise in C-reactive protein', 'at the time of tooth extraction;', 'in The use of antenatal phenobarbital', 'that the use of low-molecular-weight heparin', 'for the treatment of severe pre-eclampsia,', 'in the rate of complete recovery', 'in the treatment of chronic rhinosinusitis,', 'in the treatment of chronic rhinosinusitis.', 'in the management of trigeminal neuralgia', 'in the incidence of neonatal pneumonia', 'of the balance between neutrophil elastase', 'in the treatment of infantile colic.', 'on the basis of transcutaneous oxygen', 'that the amount of absorbed corticosteroid', 'for the treatment of active rheumatoid']"
NN JJ NN JJ NN JJ,"['insulin toothowlow insulin toothillowlow insulin toothillowlow', 'treatment washermitical treatment wastaimoxidical treatment washermineral', 'diabetes; toothowlow insulin toothowlow insulin toothillowlow', 'insulin diabetesollow insulin toothowlow insulin toothillowlow']"
JJ NN JJ NN JJ NN,"['Therapeutic group toilogical group, and/A/-1% toplessfulification,', 'toothowlow insulin toothillowlow insulin toothillowlow insulin', 'Therapeutic treatment washermitical treatment wascephical treatment', 'washermitical treatment wastaimoxidical treatment washermineral treatment', 'diabetesollow insulin toothowlow insulin toothillowlow insulin', 'toothowlow insulin diabetesollow insulin toothowlow insulin', 'toothowlow insulin toothowlow insulin toothillowlow insulin', 'articular index, visual analogue scale, duration']"
NN IN DT NN IN JJ,"['difference in the rate of complete', 'gain during the period of low', 'hCG in the treatment of female', 'placebo in the treatment of infantile', 'phenelzine in the treatment of major', 'measurements, with the exception of end-diastolic', '(MTX-CF) in the treatment of primary', 'agent for the treatment of acute', 'supplementation on the recurrence of phenytoin-induced', 'drainage for the treatment of first', 'selection on the basis of transcutaneous', 'therapy in the treatment of uncomplicated', 'phenytoin in the treatment of impulsive', 'restoration of the balance between neutrophil', 'metyrapone in the treatment of psychotic', 'adjunct in the treatment of mental', 'infliximab in the treatment of steroid-dependent', 'placebo in the treatment of major', 'superiority over the administration of intranasal', 'valproate for the treatment of acute', 'supplementation through the consumption of iodized', 'regardless of the length of initial', '(lorazepam) in the management of symptomatic', 'treatment with a short-course of oral', 'imipramine for the treatment of dysthymic', 'use of a staggering of hormonal', 'reduction in the use of high', 'aspirin in the prevention of vascular', 'treatment for the treatment of uncomplicated', 'tramadol in the treatment of chronic', 'acetaminophen for the treatment of chronic', 'therapy for the treatment of chronic', '(MTX) for the treatment of active', 'inhibitor, for the treatment of macular', '(PEI) for the treatment of small', 'interest in the field of psychiatry,', 'loading) at the time of tooth', 'hippurate, for the prevention of urinary', 'primaquine on the life of vivax', 'intervention in the treatment of acute', 'change in the number of migraine', 'heparin in the treatment of acute', 'antibiotic, in the treatment of chronic', 'role in the treatment of chronic', 'heparin for the treatment of disseminated', 'therapy of the treatment of uncomplicated', 'difference in the incidence of neonatal', 'endpoint for a study in asthmatic', 'aspiration in the treatment of amoebic', 'decrease in the frequency of exclusive', 'reduction in the number of manic', 'evidence for the use of external', 'care for the treatment of acute', 'therapy in the treatment of megaloblastic', 'itraconazole in the treatment of allergic', 'removal of the placenta, while oxytocin', 'imipenem-cilastatin for the treatment of chronic']"
: : : : : :,"['- - - - - -', '; ; ; ; ; ;']"
NN IN DT NN IN NN,"['relief with the addition of hyaluronidase', 'months, with no effect on time', 'reduction in the prevalence of goitre', 'protection against the progression of emphysema.', 'reduction in the spread of resistance.', 'analgesic for the relief of pain', 'prediction of the effect of therapy', 'relief for the debridement of leg', 'model for the management of subacute', 'agent for the promotion of healing', 'methotrexate in the treatment of asthma.', 'evidence for the effectiveness of relaxation', 'ischemia in this technique of hepatectomy', 'impact on the disclosure of ""constipation""', 'review of the literature on exercise', 'summary of a piece of literature,', 'reduction in the area of brain', 'testing of the efficacy of steam', 'manipulation in the treatment of infant', 'posturing during the production of dental', 'impact on the outcome of care', 'patching in the treatment of corneal', 'prediction of the effect of therapy.', 'intervention in the management of influenza.', '(RCT) on the use of aromatherapy', 'difference in the incidence of endometritis', 'reduction in the recurrence of gingival', 'use of a headgear in combination', 'divalproex for the treatment of mania.', 'therapy for the treatment of tinnitus.', 'irrigation as a means of management', 'difference in the reduction of serum', 'exclusion of the liver with preservation', 'isotretinoin for the prevention of progression', 'desipramine in the treatment of cocaine', 'iodine for the healing of plantar', '(LASIK) for the correction of myopia', 'copper in the form of copper', 'restraint use, the rate of restraint', 'methotrexate in the treatment of steroid', 'effect on the incidence of fractures.', 'difference in the duration of tachypnea', 'patch used, the duration of treatment,', 'methotrexate in the treatment of steroids.', 'ranelate in the treatment of osteoporosis.', 'incentive for the completion of therapy.', 'placebo for the prophylaxis of migraine.', 'process until the day of oocyte', 'lamotrigine for the treatment of tinnitus.', 'placebo for the treatment of acute', 'agent for the treatment of anorexia', 'use of the combination of emtricitabine', 'increase in the rate of decline', '(GEn) for the prophylaxis of migraine.']"
DT NN IN JJ JJ NN,"['the treatment of steroid-dependent ulcerative colitis', 'The incidence of acute fetal distress', 'the use of local anaesthetic injection', 'the effectiveness of involuntary outpatient commitment', 'the use of sucrose, sweet taste,', 'the addition of antenatal thyrotropin-releasing hormone', 'the effectiveness of different iodine supplementation', 'the treatment of acute psychiatric illness.', 'the availability of extra pressure-relieving equipment', 'the treatment of impulsive aggressive behavior', 'the treatment of acute ischemic stroke,', 'The trend of reduced cesarean section', 'the treatment of allergic bronchopulmonary aspergillosis', 'the severity of postoperative pancreatic fistulas.', 'the risk of febrile nonhemolytic transfusion', 'the recurrence of phenytoin-induced gingival overgrowth', 'the healing of trophic leprosy ulcers.', 'the period of low functional lactase', 'the treatment of uncomplicated urinary tract', 'the treatment of anterior open bite.', 'the treatment of psychotic major depression', 'the efficacy of conventional antibiotic therapy', 'the treatment of disseminated intravascular coagulation', 'the use of preoperative biliary drainage', 'The probability of 30-day event-free survival', 'The efficacy of single-dose antibiotic therapy', 'the treatment of major depressive disorder', 'the treatment of acute bipolar mania.', 'the efficacy of intermittent pneumatic compression', 'the efficacy of chiropractic manual therapy', 'the incidence of cystic periventricular leukomalacia', 'the treatment of intrauterine contraceptive device', 'the use of preoperative analgesic administration', 'the efficacy of single-dose antibiotic therapy', 'the treatment of acute pulmonary embolism.', 'the degree of clinical cervical cord', 'the effect of folic acid supplementation', 'the treatment of small hepatocellular carcinoma', 'the use of additional individualized velopharyngeal']"
JJ JJ JJ JJ JJ JJ,"['antibiotic 0-84-slible-sl 0-slible-slible-sl 0-87 0-slible-sl 0-slible-sl', 'assessment-based assessment-based cognitive assessment-based cognitive assessment-based', 'toobble toobble toobble toobble toobobble toobble', 'assessment-based cognitive assessment-based assessment-based cognitive assessment-based', 'assessment-based assessment-based assessment-based assessment-based assessment-based assessment-based', 'assessment-based assessment-based assessment-based cognitive assessment-based assessment-based', 'cognitive assessment-based assessment-based assessment-based assessment-based cognitive', '0-87 0b-sl antibiotic 0-84-slible-sl 0-slible-slible-sl 0-87', 'assessment-based assessment-based cognitive assessment-based assessment-based assessment-based', 'assessment-based assessment-based assessment-based assessment-based assessment-based cognitive', 'toobble toobble toobble toobobble toobble toobble', 'toobble toobobble toobble toobble toobble toobble', 'toobble toobble toobble toobble toobble toobble', '0-84-slible-sl 0-slible-slible-sl 0-87 0-slible-sl 0-slible-sl 0-with-sl-87', 'cognitive assessment-based assessment-based cognitive assessment-based cognitive', '0b-sl antibiotic 0-84-slible-sl 0-slible-slible-sl 0-87 0-slible-sl', 'toobble toobble toobble toobble toobble toobobble', '0-slible-slible-sl 0-87 0-slible-sl 0-slible-sl 0-with-sl-87 0-sl', 'assessment-based assessment-based cognitive assessment-based assessment-based cognitive', 'results-based assessment-based assessment-based assessment-based assessment-based assessment-based', 'toobobble toobble toobble toobble toobble toobble', 'assessment-based assessment-based assessment-based assessment-based cognitive assessment-based', 'toobble toobble toobobble toobble toobble toobble', 'assessment-based cognitive assessment-based assessment-based assessment-based assessment-based']"
DT NN IN JJ NN IN,"['the incidence of leukaemic relapse in', 'the use of intracervical lignocaine with', 'the use of anti-TNF therapy in', 'the role of outpatient treatment among', 'the impact of antenatal counseling on', 'the treatment of oral candidiasis in', 'the management of agitated behavior in', 'an increase in hemoglobin (Hb) by', 'the role of visual feedback in', 'the use of high-dose oxytocin for', 'the treatment of psoriatic arthritis, with', 'the efficacy of early management by', 'the progression of uterine leiomyomas in', 'the impact of adjuvant chemotherapy with', 'the rate of complete recovery from', 'the effectiveness of oral methotrexate in', 'the recurrence of gingival overgrowth by', 'the treatment of macular edema after', 'The use of low-dose baclofen in', 'the need for manual removal of', 'the treatment of oropharyngeal candidiasis, with', 'the value of patient selection on', 'the efficacy of oral isotretinoin for', 'the time of tooth extraction; in', 'the level of menstrual distress, with', 'the treatment of oral thrush in', 'the use of hypnotic analgesia as', 'the treatment of psoriatic arthritis for', 'an increase in ""on"" time by', 'a dose of 40-50 mg/kg/d as', 'the prevalence of exclusive breastfeeding at', 'the need for ventriculoperitoneal shunt in', 'the incidence of pancreatic fistula after', 'the progression of pulmonary emphysema in', 'the role of continuous monitoring of', 'the need for mechanical ventilation, in', 'the treatment of mild bronchoconstriction in', 'the rate of organ failure between', 'the treatment of chronic constipation in', 'the risk of pulmonary embolism in']"
NN IN NNS IN JJ NN,"['disorder in persons with multiple sclerosis', 'rate for patients with severe paraquat', 'status of patients with generalized malignancy,', 'program for individuals with chronic stroke.', 'control in eyes with angle closure', 'group in terms of caloric intake,', 'placebo in patients with psoriatic arthritis.', 'mania in patients with bipolar disorder.', 'number of survivors with bronchopulmonary dysplasia', 'proportion of patients with confirmed disability', '(CT) in individuals with bipolar disorders.', 'group of patients at high risk', 'gap in cases of velopharyngeal insufficiency', 'effectiveness of programs for different age', 'distress in women with primary dysmenorrhea.', 'aggregation in patients with peripheral vascular', 'disorder in patients with multiple sclerosis', '(TBC) in patients with cystic fibrosis', 'self-efficacy in adults with cystic fibrosis', 'treatment for women with intra-amnionic infection.', 'failure for patients with chemosensitive disease.', 'protocol in terms of reduced stimulation', 'emphysema in patients with alpha(1)-antitrypsin deficiency.', 'strength in patients with idiopathic car', 'physiotherapy in patients with cystic fibrosis', 'production for patients with cleft palate', 'reduction in infants during routine immunization', 'status in children with cystic fibrosis.', 'number of fractures in elderly individuals.', 'management of requests for same-day appointments,', '(CT) in patients with bipolar disorders.', 'shunt in babies with post-haemorrhagic hydrocephalus.', 'option for patients with bulky stage', 'care in terms of social functioning', 'index of changes in nutritional status', 'population of patients with severe asthma', 'mortality in patients with severe acute', '(IVF) in couples with non-male-factor infertility.', 'disorder in patients with multiple sclerosis?', 'closure in patients with submucous cleft', 'status in children with cystic fibrosis?', 'treatment for patients with advanced gastric', 'treatment for patients with cervical dystonia', 'number of patients with fecal incontinence', 'behavior, in patients with autistic disorder.', 'treatment of patients with organophosphorous pesticide', 'augmentation in patients with first-episode psychosis']"
NN IN DT JJ NN IN,"['weight during the first week of', 'levels, with a significant decrease in', 'group, with no significant difference between', 'difference in the annual rate of', 'role of this new approach in', '(SNS) in a significant number of', 'stay in the intensive care unit,', 'benefit of an adjuvant AV-fistula on', 'removal of the deciduous canine as', 'work-up with the diagnostic yield of', 'men) with a mean age of', 'groups, with an effectiveness rate of', 'distress, with a significant reduction in', 'respectively, with a significant difference in', 'effectiveness of the community-based program in', 'violation within the first year by', 'use in the general population with', 'cholecystectomy with a mean interval of', 'flow, with a significant increase in', 'impact of a brief intervention on', 'malignancy, with a particular effect on', 'efficacy of a task-orientated program in', 'deprenyl as a therapeutic agent for', 'use of a triphasic pill with', 'use of a multimodal package in', 'agonist on the glycine site of', 'effectiveness of a screening program for', 'information about the specific situation in', 'management of the third stage of', 'months, with a significant reduction in', 'manner, at an initial dose of', 'difference in the mean number of', 'augmentation of the analgesic activity of', 'pill with a fixed dose of', 'duration of the third stage of', 'gap at the velopharyngeal sphincter during', 'implantation of a permanent stimulator under', 'care unit, the total length of']"
DT JJ NN IN DT NN,"['a significant reduction in the recurrence', 'a general summary of a piece', 'a significant reduction in the prevalence', 'a promising agent for the treatment', 'a useful adjunct in the treatment', 'a detrimental role in the progression', 'a vital ingredient in the success', ""the patient's view of the familiarity"", 'a standard nipple with a crosscut', 'the headgear group In the study', 'the conventional treatment for the treatment', 'the second year, after the interlock', 'the first year of the study.', 'the primary endpoint for a study', 'The median survival for the intervention', 'the final period of the study', 'All objective measurements, with the exception', 'a significant reduction in the time', 'a significant reduction in the use', 'a significant impact on the efficacy', 'no significant difference in the incidence', 'the same thickness as the magnet', 'The mean size of the gap', 'the first part of the study', 'no significant difference in the duration', 'a significant decrease in the frequency', 'a permanent stimulator under the skin', 'The diagnostic yield of the heuristic', 'the follicular phase between the treatments.', 'no significant increase in the rate', 'the residual size of The topic', 'an effective treatment for The study', 'the same device with the addition', 'a significant reduction in the number', 'no significant difference in the rate', 'no significant difference in the reduction', 'a systematic review of the literature', 'a useful agent for the promotion', 'this new approach in the care', 'an adjuvant AV-fistula on the patency', 'a beneficial role in the treatment']"
DT NN IN DT JJ NN,"['the effectiveness of a screening program', 'a summary of a specific text,', 'a correlation with the daily dose', 'a technique for the first day', 'the removal of the deciduous canine', 'The purpose of this study-specific archwire', 'the efficacy of a brief intervention,', 'the performance of an electronic computer', 'the impact of a brief intervention', 'a technique for the first time.', 'the efficacy of the antiglucocorticoid agent', 'the efficacy of the anticonvulsant drug', 'the extraction of the deciduous canine', 'the use of a continuous spike.', 'the use of a cervical-pull headgear,', 'a technique for the first method.', 'the effectiveness of a home-based intervention', 'The purpose of the clinical trial', 'The incidence of the primary outcome', 'the incidence of the primary outcome', 'the exception of the end-diastolic blood', 'the use of a cervical-pull headgear.', 'the effect of a community-based tai', 'the gap at the velopharyngeal sphincter', 'the duration of the third stage', 'the role of this new approach', 'the management of the third stage', 'the efficacy of a task-orientated program', 'the effectiveness of the community-based program', 'the effectiveness of the positive expiratory', 'the impact of a social marketing', 'the use of a triphasic pill', 'the implantation of a permanent stimulator', 'the benefit of an adjuvant AV-fistula', 'an improvement in the overall fertilization', 'the use of a multimodal package', 'an influence on the endogenous creatinine']"
